"date","type","AI1","momentum","QQQ3","Nasdaq100Fut","8:38","9:00","sq9:00","9:26","9:30","9:35","9:45","10:00","10:45","11:30","13:30","16:00","成行","target","基準","基準momemtum","Memo","Max,Min","PER100値"
"2021-05-19","1","","","-7.7","-1.6","-2.4","-3.4","","-3.6","-3.6","-2.6","-1.7","-1.8","-1.2","-1.1","-1.0","-0.8","↗︎2.5↗︎0.6","-3.5","安め","0@310.46","⇨-0.9(9:30に-3.8%)","-0.4,-4.4通常","225.26"
"2021-05-20","1","","","3.3","0.3","0.3","0.8","","1.2","1.3","1.4","1.8","1.5","3.5","4.4","4.3","4.6","↗︎4.9↗︎1.8","1.1","安め","0@324.7","⇨4.7(9:30に1.1%)","4.9,0.8通常","225.26"
"2021-05-21","4","","","1.3","0.3","0.6","0.7","","0.7","1.1","-0.2","0.0","1.2","-1.4","-1.8","-2.2","-2.6","↘︎-1.4↘︎-0.9","1.1","高い","1@316.40","⇨-2.2(12:00に-2.2%)","1.4,-2.6通常","225.26"
"2021-05-24","1","","","1.0","0.8","1.0","1.1","","0.9","0.9","1.2","1.9","1.9","0.8","0.9","1.3","1.6","↗︎3.0↗︎1.1","0.9","中立","-1@321.56","⇨2.2(9:55に2.2%)","2.4,0.0閑散","225.26"
"2021-05-25","6","","","1.0","0.5","0.4","0.5","","0.5","0.5","0.6","0.6","0.2","0.8","0.2","0.1","-0.1","↘︎-1.8↘︎-0.4","-1.2","高め","1@321.28","⇨1.1(9:55に-1.2,11:00に1.1)","1.2,-1.7閑散","225.26"
"2021-05-26","3","","","1.7","0.3","0.6","0.6","","0.6","1.0","0.5","1.0","0.5","1.4","1.2","1.6","1.5","→0.0↘︎-0.1","0.8","高め","0@326.05","⇨2.4(10:00に2.5%)","2.5,0.6閑散","225.26"
"2021-05-27","6","","","-0.8","-0.4","-0.2","-0.5","","0.1","-0.6","-1.2","-1.8","-1.5","-0.1","0.0","1.0","0.1","↗︎1.1↗︎0.1","-2.3","高い","1@326.43","⇨1.4(9:50に-2.3%)","1.5,-2.6通常","225.26"
"2021-05-28","6","","","0.6","0.2","0.4","0.2","","0.9","1.1","0.8","0.9","0.7","1.6","1.3","2.4","1.6","↗︎0.2↗︎0.2","1.1","高い","2@331.53","⇨2.9(13:10にに2.9%,決算近い)","3.0,1.0活況","225.26"
"2021-06-01","4","","↘︎","1.8","0.3","0.9","0.5","0.5","0.6","0.5","0.7","1.1","0.1","-1.8","-2.1","-0.6","-1.2","↘︎-2.3↘︎-0.7","-2.9","高い","3@327.72","⇨-0.5(11:05に-2.9%)","1.4,-2.9閑散","225.26"
"2021-06-02","3","","↗︎","0.8","0.1","1.7","-0.1","-0.1","1.5","1.2","0.6","1.9","1.5","-1.2","-0.8","-0.7","-0.2","↗︎0.5↗︎0.1","-1.5","高め","-1@327.11","⇨0.2(11:00に-1.5%)","1.9,-1.7活況","289.81"
"2021-06-03","5","","→","-2.7","-0.9","-1.3","-1.2","-1.2","-1.8","-2.0","-1.5","-2.0","-1.6","-1.7","-1.6","-1.5","-2.5","↗︎0.4↘︎-0.1","-2.6","高め","0@319.01","⇨-0.6(9:50に-2.6%)","-0.4,-2.7通常","289.81"
"2021-06-04","6","","↗︎","0.3","0.5","0.1","0.5","0.5","0.3","0.3","0.6","1.5","1.7","4.5","4.5","5.8","5.3","↗︎3.4↗︎1.3","0.4","安め","-1@336.00","⇨5.8(9:30に0.8%)","6.2,0.2閑散","289.81"
"2021-06-07","6","","↘︎","0.0","0.0","-0.3","-0.3","-0.3","-0.5","-1.0","-0.2","-0.6","-0.5","1.0","1.3","1.9","2.0","↘︎-1.1↗︎0.1","-1.3","高い","1@342.66","⇨2.4(9:40に-1.3%)","2.6,-1.4通常","289.81"
"2021-06-08","3","","→","3.5","0.5","0.4","0.5","0.5","0.0","0.4","0.7","1.4","0.8","0.8","-0.5","-0.6","-0.4","↘︎-2.3↘︎-0.4","0.0","高い","2@341.26","⇨1.9(9:50に2.0%)","2.1,-1.0閑散","289.81"
"2021-06-09","1","1","→2","1.7","0.4","0.2","0.7","0.7","-0.6","-3.1","1.4","1.4","1.4","-1.3","-1.5","-0.8","-2.2","↘︎-0.1↘︎-0.4","-3.1","高め","3@333.63","⇨-0.6(13:00に-0.4)","-0.3,-3.2活況","289.81"
"2021-06-10","1","1","↗︎","-1.4","-0.2","0.6","0.4","0.4","-0.1","-0.4","0.2","0.8","1.3","1.7","2.0","2.9","3.9","↗︎2.8↗︎1.1","-0.5","中立","-1@346.5","⇨3.9(9:30に-0.5%)","3.9,-0.8通常","289.81"
