"date","type","Nasdaq100Fut","8:30","sq9:00","zm9:00","16:00","成行","target","基準","基準momemtum","Memo","PER100値"
"2021-09-28","5","-1.5","-1.5","-2.4","-1.4","-4.0","↘︎-3.2↘︎-1.1","-4.6","安め","1@261.89","⇨-3.5(11:50に-4.6%)","331.00"
"2021-09-29","3","0.5","0.3","1.5","0.6","-1.7","↘︎-1.0↘︎-0.1","-1.8","安い","-1@257.41","⇨-1.7(15:55に-1.8%)","331.00"
"2021-09-30","6","0.5","0.5","1.2","0.4","1.6","↗︎0.6↘︎-0.4","-0.3","安い","-2@261.5","⇨2.8(9:30に-0.3%)","331.00"
"2021-10-01","4","0.1","3.8","0.6","3.8","2.3","↘︎-0.8↗︎0.5","0.7","安い","-3@267.56","⇨3.7(10:10に0.7%)","331.00"
"2021-10-04","5","-0.4","-0.3","-0.4","0.0","-3.0","↘︎-5.1↘︎-1.7","-5.0","安い","-4@259.58","⇨-3.0(13:05に-5.0%)","331.00"
"2021-10-05","3","0.4","0.1","0.7","0.1","-1.0","↗︎3.6↗︎1.2","-0.7","安い","-5@257.12","⇨0.6(11:15に0.6%)","331.00"
"2021-10-06","1","-1.1","-1.8","-1.6","-2.1","-1.4","↗︎2.5↗︎1.4","-2.5","安い","-6@253.65","⇨0.2(10:05に-2.5%)","331.00"
"2021-10-07","6","1.1","1.3","3.0","1.2","1.0","↗︎1.0↘︎-0.2","0.2","安い","-7@256.27","⇨1.8(9:30に0.2%)","331.00"
"2021-10-08","4","0.5","0.3","0.2","0.6","-0.5","↘︎-5.8↘︎-1.0","-0.9","安め","1@255.05","⇨-0.2(11:50に-0.9%)","331.00"
"2021-10-11","6","-0.7","-0.7","-0.5","-0.4","-0.4","↗︎3.1↗︎0.2","-1.1","安め","0@253.97","⇨1.1(9:30に-1.1%)","331.00"
"2021-10-12","6","0.3","0.4","1.6","0.9","0.6","↘︎-1.7↘︎-0.8","0.0","安め","0@255.49","⇨1.1(11:20に0.0%)","331.00"
"2021-10-13","6","0.4","0.5","0.2","0.7","4.2","↘︎-1.0↗︎0.2","0.8","安め","0@266.24","⇨4.8(9:35に0.8%)","331.00"
"2021-10-14","3","1.1","1.4","1.7","1.6","0.3","↗︎1.5↗︎0.7","1.1","高め","1@267.01","⇨2.9(9:35に1.1%)","331.00"
"2021-10-15","1","0.4","0.1","0.8","0.2","-0.3","↗︎0.3↗︎0.2","-0.9","高い","2@266.32","⇨0.2(9:45に-0.9%)","331.00"
